2.7.1.175	MAK1_MYCTU Maltokinase	mak
2.1.1.226	TLYA_MYCTU 16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA	tlyA
2.4.1.36		
1.14.14.12	HSAA_MYCTU Flavin-dependent monooxygenase, oxygenase subunit HsaA	hsaA
2.1.1.227	TLYA_MYCTU 16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA	tlyA
2.4.99.16	GLGE_MYCTU Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase	glgE
6.2.1.41	FAD3_MYCTU 3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase	fadD3
6.2.1.42	FAC19_MYCTU Long-chain-fatty-acid--CoA/3-oxocholest-4-en-26-oate--CoA ligase	fadD19
5.4.99.3		
2.3.2.21	CDTS_MYCTU Cyclo(L-tyrosyl-L-tyrosyl) synthase	Rv2275
4.2.3.B36		
2.7.7.94		
2.5.1.113	CYSM_MYCTU O-phosphoserine sulfhydrylase	cysM
2.7.7.98		
2.4.1.250	MSHA_MYCTU D-inositol 3-phosphate glycosyltransferase	mshA
1.3.99.38	MENJ_MYCTU Menaquinone reductase	menJ
3.5.1.119	DOP_MYCTU Pup deamidase/depupylase	dop
2.7.7.95		
4.2.3.B31		
4.2.3.B30		
4.2.3.B33		
2.3.1.252	MSL3_MYCTU Mycolipanoate synthase	msl3
3.1.7.9	TUBOL_MYCTU Diterpene synthase	Rv3378c
4.2.3.B32		
4.2.3.B35		
4.2.3.B34		
2.4.2.47	AFTC_MYCTU Alpha-(1->3)-arabinofuranosyltransferase	aftC
2.1.1.334		
2.8.2.37	STF0_MYCTU Trehalose 2-sulfotransferase	stf0
2.4.1.342	GLGM_MYCTU Alpha-maltose-1-phosphate synthase	glgM
3.7.1.17	HSAD_MYCTU 4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase	hsaD
2.3.2.7		
3.4.21.B1		
2.3.1.261		
3.4.22.B66		
1.20.4.3		
4.99.1.9		
1.14.99.57		
5.1.1.5		
6.2.1.49		
1.2.5.3		
1.8.4.10		
4.1.1.12		
5.4.4.1		
5.4.2.9		
1.1.1.24		
2.4.1.252		
1.10.3.11		
3.4.24.33		
3.4.24.39		
1.4.1.14		
1.4.1.10		
3.2.1.68		
3.4.21.B40		
1.7.1.B1		
3.1.1.73		
2.3.1.165		
2.8.2.9		
2.4.1.232		
3.6.5.6		
2.3.2.B14		
3.4.24.B20		
1.11.1.19		
1.8.3.B2		
4.1.2.9		
3.4.21.B28		
3.4.21.B57		
3.2.1.81		
3.5.1.104		
1.13.11.75		
3.1.13.3		
3.1.27.10		
2.7.7.B17		
3.6.4.4		
1.21.4.2		
3.4.23.23		
3.4.24.B17		
3.1.99.B1		
1.2.1.42		
3.6.4.B7		
1.1.1.71		
1.3.1.86		
6.3.4.1		
3.4.21.B30		
3.2.1.99		
1.1.3.37		
1.13.11.65		
2.3.1.142		
1.1.1.43		
2.7.1.77		
4.1.1.72		
2.7.8.B13		
1.11.1.14		
1.5.3.5		
2.1.1.129		
3.1.16.1		
1.8.4.9		
2.2.1.10		
1.6.3.4		
1.14.19.5		
4.2.1.55		
1.2.2.4		
3.6.5.4		
1.14.99.24		
3.6.4.8		
1.3.1.6		
3.1.1.58		
4.4.1.9		
2.3.1.88		
2.7.7.51		
2.3.1.32		
4.2.1.157		
2.7.1.86		
3.5.1.B15		
3.4.23.B5		
2.3.2.1		
1.7.1.1		
1.3.1.44		
3.5.1.123		
1.1.3.4		
3.4.22.65		
3.4.21.32		
1.1.3.8		
1.5.3.2		
3.4.22.B69		
1.11.1.11		
2.1.1.243		
3.2.2.15		
1.10.3.1		
3.4.24.31		
1.8.1.12		
2.4.2.B15		
3.1.30.1		
3.1.30.2		
3.6.1.10		
2.3.1.260		
3.4.21.50		
5.1.1.16		
1.13.12.7		
1.13.12.5		
3.4.23.18		
3.4.24.68		
1.97.1.1		
3.4.23.16		
3.2.1.80		
2.5.1.43		
3.4.24.B4		
3.6.4.1		
3.6.4.2		
3.4.22.46		
6.3.5.6		
3.4.23.20		
2.7.7.B22		
3.6.3.6		
3.4.24.3		
2.4.1.207		
3.4.16.6		
3.6.3.26		
3.4.17.18		
2.7.7.B16		
4.2.2.3		
4.2.2.8		
3.4.24.30		
3.6.4.11		
2.7.13.1		
2.4.1.14		
2.4.2.B14		
3.1.4.41		
3.1.15.1		
3.1.11.4		
1.1.1.78		
3.1.13.2		
3.4.24.83		
1.7.2.4		
2.7.1.72		
3.2.1.36		
3.4.21.85		
3.4.22.50		
3.1.27.3		
3.1.27.2		
2.4.1.214		
2.7.8.B10		
3.6.3.23		
2.5.1.20		
2.3.1.206		
1.8.4.7		
1.6.5.4		
2.4.2.36		
3.6.5.1		
2.3.2.12		
3.6.3.7		
6.2.1.15		
3.4.22.35		
4.2.1.78		
3.6.3.B1		
1.2.1.51		
1.14.13.54		
4.4.1.4		
1.8.99.2		
3.1.3.31		
3.1.1.42		
3.4.21.61		
3.4.21.97		
3.4.21.90		
4.3.1.5		
3.4.22.B28		
3.4.22.32		
3.6.3.52		
3.6.3.51		
3.2.1.117		
3.2.1.123		
3.4.24.74		
1.14.13.67		
3.6.3.47		
