2.7.1.175	MAK1_MYCTU Maltokinase	mak
3.6.1.27	UPPP_MYCTU Undecaprenyl-diphosphatase	uppP
1.8.7.1	SIR_MYCTU Sulfite reductase [ferredoxin]	sir
5.1.1.5		
2.5.1.74	MENA_MYCTU 1,4-dihydroxy-2-naphthoate octaprenyltransferase	menA
2.1.1.226	TLYA_MYCTU 16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA	tlyA
6.3.1.19	PAFA_MYCTU Pup--protein ligase	pafA
2.1.1.193	RSME_MYCTU Ribosomal RNA small subunit methyltransferase E	rsmE
2.4.1.36		
6.2.1.49		
2.6.1.17	DAPC_MYCTU Probable N-succinyldiaminopimelate aminotransferase DapC	dapC
1.14.14.12	HSAA_MYCTU Flavin-dependent monooxygenase, oxygenase subunit HsaA	hsaA
2.6.1.88		
2.4.2.17	HIS1_MYCTU ATP phosphoribosyltransferase	hisG
2.1.1.171	A0A045IDU3_MYCTX Putative methyltransferase	rsmD
1.1.1.91	A0A0T9L9F0_MYCTX Aldo/keto reductase	iolS_2
1.14.13.142	KSHA_MYCTU 3-ketosteroid-9-alpha-monooxygenase, oxygenase component	kshA
2.7.1.63	PPGK_MYCTA Polyphosphate glucokinase	ppgK
1.2.5.3		
1.1.1.133	RMLD_MYCTU dTDP-4-dehydrorhamnose reductase	rmlD
1.2.1.79	GABD1_MYCTU Succinate-semialdehyde dehydrogenase [NADP(+)] 1	gabD1
1.8.4.10		
2.1.1.227	TLYA_MYCTU 16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA	tlyA
2.4.99.16	GLGE_MYCTU Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase	glgE
6.2.1.41	FAD3_MYCTU 3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase	fadD3
4.1.1.12		
5.4.4.1		
3.7.1.8	HSAD_MYCTU 4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase	hsaD
2.3.1.189	MSHD_MYCTU Mycothiol acetyltransferase	mshD
3.5.1.103	MSHB_MYCTU 1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase	mshB
2.7.7.89	GLNE_MYCTU Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme	glnE
6.2.1.42	FAC19_MYCTU Long-chain-fatty-acid--CoA/3-oxocholest-4-en-26-oate--CoA ligase	fadD19
2.1.1.163	MENG_MYCTU Demethylmenaquinone methyltransferase	menG
5.4.99.3		
5.4.2.9		
2.3.2.21	CDTS_MYCTU Cyclo(L-tyrosyl-L-tyrosyl) synthase	Rv2275
4.2.3.B36		
3.11.1.1	A0A0T9LT93_MYCTX HAD family hydrolase	phnX
5.1.3.13	RMLC_MYCTU dTDP-4-dehydrorhamnose 3,5-epimerase	rmlC
2.3.1.111	A0A0T9DH93_MYCTX Multifunctional mycocerosic acid synthase membrane-associated MAS	mas_1
1.1.1.24		
2.7.7.94		
2.5.1.113	CYSM_MYCTU O-phosphoserine sulfhydrylase	cysM
2.7.7.98		
2.4.1.250	MSHA_MYCTU D-inositol 3-phosphate glycosyltransferase	mshA
2.4.1.252		
1.3.99.38	MENJ_MYCTU Menaquinone reductase	menJ
5.3.1.16	HIS4_MYCTU Phosphoribosyl isomerase A	priA
